gene_selected;gene_evaluated;corr;pvalue;rank;is_on_pathway
DICER1;CAST;0,11377668;2,922005467;371;0
DICER1;NAA25;0,113731159;2,920018964;372;0
DICER1;A1BG;0,113649206;2,916444313;373;0
DICER1;DYRK1A;0,11363162;2,915677499;374;0
DICER1;MOB4;0,113607216;2,91461363;375;0
DICER1;ECT2L;-0,113586741;2,913721229;376;0
DICER1;MAZ;-0,114401262;2,912184403;377;0
DICER1;C12orf66;-0,11354417;2,911866139;378;0
DICER1;MAP10;-0,113482975;2,909200619;379;0
DICER1;C11orf24;-0,113453712;2,907926448;380;0
DICER1;KANK3;-0,113401649;2,905660197;381;0
DICER1;ENTPD4;-0,113337857;2,902884679;382;0
DICER1;MAX;0,113222638;2,897875145;383;0
DICER1;OR1S2;-0,113160459;2,895173603;384;0
DICER1;CBFA2T3;0,113060909;2,890851072;385;0
DICER1;WASHC3;0,113041;2,889987058;386;0
DICER1;MAP2K3;0,112920567;2,884763112;387;0
DICER1;DUS1L;0,112916151;2,884571674;388;0
DICER1;TFCP2;-0,112818466;2,880338267;389;0
DICER1;MICAL1;-0,112755466;2,877609718;390;0
DICER1;ANO9;0,11275502;2,877590401;391;0
DICER1;CD63;-0,112710542;2,875664902;392;0
DICER1;OR4S2;-0,112548825;2,868669607;393;0
DICER1;ZBTB47;0,112432957;2,863663065;394;0
DICER1;EMC7;0,112234095;2,855081087;395;0
DICER1;KMT2D;-0,113021169;2,852813578;396;0
DICER1;TSPAN8;-0,112131438;2,850656158;397;0
DICER1;SELENOS;0,112116515;2,850013213;398;0
DICER1;TRAPPC1;0,112067606;2,847906561;399;0
DICER1;mar-06;0,112030825;2,846322831;400;0
DICER1;MRPL1;-0,111960194;2,843282844;401;0
DICER1;EIF2S1;0,111888672;2,840206266;402;0
DICER1;SLC9A2;-0,111823389;2,837399551;403;0
DICER1;OR4S1;-0,111806843;2,836688422;404;0
DICER1;LATS2;-0,111785525;2,835772365;405;0
DICER1;DCAF10;-0,111651157;2,830001816;406;0
DICER1;ASF1B;-0,112464106;2,829030378;407;0
DICER1;NAA40;-0,112383467;2,825596211;408;0
DICER1;PDXK;0,111540214;2,825241912;409;0
DICER1;WNT16;0,111521293;2,824430522;410;0
DICER1;C16orf92;-0,111438062;2,820862881;411;0
DICER1;DDIT3;-0,111322936;2,815931953;412;0
DICER1;MIOS;0,111295081;2,814739575;413;0
DICER1;IRF2;0,111294361;2,814708743;414;0
DICER1;TUBG1;-0,111293699;2,814680396;415;0
DICER1;TUBB2A;0,111282291;2,814192141;416;0
DICER1;FAM133A;-0,112591017;2,813390538;417;0
DICER1;ALAS2;-0,112573293;2,812640988;418;0
DICER1;IL37;-0,111193487;2,810392945;419;0
DICER1;ZSCAN20;0,111152229;2,808628716;420;0
DICER1;VPS41;0,111024646;2,803176922;421;0
DICER1;NDUFAF4;-0,110932121;2,799226684;422;0
DICER1;CST6;-0,110898634;2,797797681;423;0
DICER1;ZNF667;0,110779515;2,792717701;424;0
DICER1;RAB11A;-0,110733915;2,790774282;425;0
DICER1;UBA2;0,110694305;2,789086712;426;0
DICER1;GABPB1;0,110685549;2,788713766;427;0
DICER1;GPX4;0,110638561;2,786712709;428;0
DICER1;SCARB2;-0,1106058;2,785317972;429;0
DICER1;PHF21A;0,111354817;2,7819806;430;0
DICER1;ITGAX;-0,110411508;2,777053908;431;0
DICER1;CES2;-0,110382151;2,775806361;432;0
DICER1;RDH11;0,110316192;2,773004406;433;0
DICER1;COQ10A;-0,110303495;2,772465217;434;0
DICER1;TUBB2B;0,110157823;2,766282916;435;0
DICER1;NDUFA13;-0,110007124;2,759894869;436;0
DICER1;ANP32D;-0,109994237;2,759348953;437;0
DICER1;COL5A3;-0,109972211;2,75841603;438;0
DICER1;TMPRSS2;-0,109967582;2,758220013;439;0
DICER1;ZNF578;0,109941252;2,757105052;440;0
DICER1;SLC10A4;-0,109892978;2,755061435;441;0
DICER1;FAM32A;-0,109892482;2,755040427;442;0
DICER1;HMGN5;-0,111978033;2,754761079;443;0
DICER1;CCNK;0,109873855;2,754252136;444;0
DICER1;TINF2;0,110692841;2,754099771;445;0
DICER1;CRNKL1;-0,109824757;2,752174755;446;0
DICER1;ALG12;0,109806393;2,751398005;447;0
DICER1;TCTN3;-0,109804738;2,751328012;448;0
DICER1;ANKRD24;-0,109802914;2,751250829;449;0
DICER1;NPPB;0,109787977;2,750619154;450;0
DICER1;TSHZ2;-0,109774253;2,750038771;451;0
DICER1;ASPA;0,109769151;2,749823039;452;0
DICER1;SDAD1;-0,109749502;2,748992315;453;0
DICER1;CRYGN;0,109594927;2,74246149;454;0
DICER1;TEFM;-0,109579953;2,741829267;455;0
DICER1;BCAS2;-0,109559158;2,740951386;456;0
DICER1;RPP25L;0,109505785;2,738698898;457;0
DICER1;G3BP1;0,109497708;2,738358137;458;0
DICER1;NEMP2;-0,109398885;2,734190359;459;0
DICER1;TRO;-0,110667594;2,732658082;460;0
DICER1;ZNF20;-0,109292422;2,729704082;461;0
