SELECTED_GENE;EVALUATED_GENE;CORRELATION;PVALUE;is_on_pathway
GART;EMC2;0.21200368651820709;3.897402278455261e-11;0
GART;SPPL3;0.2120008580356936;3.899777490052525e-11;0
GART;AP3D1;0.2118061376096362;4.0667383765166354e-11;0
GART;ITSN2;0.21172631001075576;4.137186019759684e-11;0
GART;BRK1;-0,211611359;4.240728796400618e-11;0
GART;PTPN14;0.2116069311472766;4.2447672272665755e-11;0
GART;GFM2;0.21140619813126985;4.431854550498687e-11;0
GART;BSND;-0,211008643;4.826458764911489e-11;0
GART;ZNF593;-0,21059022;5.278823085441458e-11;0
GART;ATP5PD;0.21043885901341436;5.45245269156121e-11;0
GART;ATP1A1;0.21031236161997394;5.6018290320515174e-11;0
GART;UBE2H;-0,210297265;5.619920425643384e-11;0
GART;CMAS;0.2100165623043207;5.966899734435204e-11;0
GART;MRPS18C;0.20996311767059708;6.03529398547183e-11;0
GART;TSC1;0.20987667330938822;6.147542487217495e-11;0
GART;ZC3H4;0.20985838656624456;6.17154786455606e-11;0
GART;ATP5PF;0.20979462353626963;6.255969087585937e-11;0
GART;ARHGEF7;-0,209597079;6.52473633412693e-11;0
GART;GET4;0.20934995385996488;6.87687410081472e-11;0
GART;DOCK2;0.20929240992231216;6.96149661518827e-11;0
GART;NRBP1;0.20922756514683308;7.058074239056534e-11;0
GART;MRPL30;0.20915915813021893;7.161375231160451e-11;0
GART;EFNA5;-0,20911784;7.224483393306669e-11;0
GART;SLC4A5;-0,20891373;7.544286175896476e-11;0
GART;DDN;-0,208732674;7.839506772686325e-11;0
GART;KRTAP10-11;0.20840280703708125;8.406630279141985e-11;0
GART;SLC44A3;-0,207993925;9.165399584210209e-11;0
GART;CDIN1;0.20780871870353157;9.530709411204589e-11;0
GART;GLIPR1L1;-0,207787599;9.573258424199307e-11;0
GART;NSUN4;0.20766780057584214;9.818147351243042e-11;0
GART;EIF5AL1;0,20761211;9.93406000366023e-11;0
GART;EIF4G1;0.20749854264458875;1.0174590100193933e-10;0
GART;ITGB5;-0,207487196;1.019893187564471e-10;0
GART;PFKFB3;0.20742245945748528;1.0338900453968347e-10;0
GART;TCF3;0.20719714977113265;1.0840820648693136e-10;0
